X,Y,Z,Qw,Qx,Qy,Qz
115.61,-61.38,-20.69,-3.79,3.95,-1.92,1.35
-121.96,-82.7,8.54,-1.09,1.32,-3.9,3.01
-133.51,-121.92,-43.06,-2.02,0.69,-4.54,4.01
93.69,-183.66,-59.56,-3.22,3.81,-2.51,0.77
-120.57,-106.17,9.28,-1.05,1.37,-3.11,3.66
102.45,90.25,90.29,-3.17,4.51,2.37,0.52
110.42,-23.69,-90.94,-3.97,4.18,-1.31,-1.39
129.79,79.66,-63.37,-4.31,4.66,-0.56,-1.44
98.08,6.54,-107.85,-2.79,2.84,-1.37,-1.17
-53.36,-8.52,-138.2,-1.97,2.42,-3.21,-2.88
-130.55,-8.68,-51.83,-1.39,0.04,-3.44,3.46
54.25,9.91,-124.88,-1.77,2.99,-1.97,-1.18
74.61,59.71,106.81,-3.31,4.12,2.92,0.84
-31.62,-46.45,-124.62,-2.44,2.87,-3.31,-3.48
109.8,-147.79,-41.45,-3.78,3.83,-2.43,1.08
90.63,37.38,-98.76,-2.7,2.71,-1.26,-1.16
-112.2,-158.31,-53,-1.94,0.33,-3.32,3.76
80.64,-35.02,103.52,-3.3,4.3,2.53,1.16
-53.33,33.53,-141.19,-1.97,2.33,-3.09,-2.87
97.11,-125.44,-37,-3.92,2.92,-2.45,1.94
