obj,planner,starting_pose,goal_pose,env,result,run_time,started from start_pose
Cyl,RRT,0,0,0,True,0.4093819999999999,True
Cyl,RRT,0,1,0,True,0.5468989999999998,True
Cyl,RRT,0,2,0,True,0.3447339999999999,True
Cyl,RRT,0,3,0,True,0.32398599999999966,True
Cyl,RRT,0,4,0,True,0.2997210000000017,True
Cyl,RRT,0,5,0,False,0.16223100000000024,True
Cyl,RRT,0,6,0,True,0.39459399999999967,True
Cyl,RRT,0,7,0,False,0.16478200000000065,True
Cyl,RRT,0,8,0,True,0.3991150000000001,True
Cyl,RRT,0,9,0,False,0.1592690000000001,True
Cyl,RRT,0,0,1,False,0.15864999999999974,True
Cyl,RRT,0,1,1,True,0.48530299999999826,True
Cyl,RRT,0,2,1,True,0.39931299999999936,True
Cyl,RRT,0,3,1,True,0.5599100000000021,True
Cyl,RRT,0,4,1,True,0.46699400000000324,True
Cyl,RRT,0,5,1,False,0.15290699999999902,True
Cyl,RRT,0,6,1,False,0.15392899999999798,True
Cyl,RRT,0,7,1,False,0.16614799999999974,True
Cyl,RRT,0,8,1,False,0.16202399999999884,True
Cyl,RRT,0,9,1,False,0.1620519999999992,True
Cyl,RRT,0,0,2,False,0.15749299999999877,True
Cyl,RRT,0,1,2,False,0.15908600000000206,True
Cyl,RRT,0,2,2,True,0.9059810000000006,True
Cyl,RRT,0,3,2,True,1.128695999999998,True
Cyl,RRT,0,4,2,False,0.15913699999999764,True
Cyl,RRT,0,5,2,False,0.15527500000000316,True
Cyl,RRT,0,6,2,True,0.7883289999999974,True
Cyl,RRT,0,7,2,False,0.1627149999999986,True
Cyl,RRT,0,8,2,True,0.6767609999999991,True
Cyl,RRT,0,9,2,True,0.7461249999999993,True
Cyl,PRM*,0,0,0,True,0.4716980000000004,True
Cyl,PRM*,0,1,0,True,0.5860849999999997,True
Cyl,PRM*,0,2,0,True,0.6104950000000002,True
Cyl,PRM*,0,3,0,True,0.4825530000000011,True
Cyl,PRM*,0,4,0,True,0.3277909999999995,True
Cyl,PRM*,0,5,0,False,0.18401200000000095,True
Cyl,PRM*,0,6,0,True,0.397060999999999,True
Cyl,PRM*,0,7,0,False,0.1666849999999993,True
Cyl,PRM*,0,8,0,True,0.41158699999999904,True
Cyl,PRM*,0,9,0,False,0.16425800000000024,True
Cyl,PRM*,0,0,1,False,0.1590730000000029,True
Cyl,PRM*,0,1,1,True,0.5186639999999976,True
Cyl,PRM*,0,2,1,True,0.41196000000000055,True
Cyl,PRM*,0,3,1,True,0.6508840000000014,True
Cyl,PRM*,0,4,1,True,0.5688519999999997,True
Cyl,PRM*,0,5,1,False,0.17986799999999903,True
Cyl,PRM*,0,6,1,False,0.16177499999999867,True
Cyl,PRM*,0,7,1,False,0.16668599999999856,True
Cyl,PRM*,0,8,1,False,0.15797299999999836,True
Cyl,PRM*,0,9,1,False,0.15932399999999802,True
Cyl,PRM*,0,0,2,False,0.15661099999999806,True
Cyl,PRM*,0,1,2,False,0.15838700000000117,True
Cyl,PRM*,0,2,2,False,0.1568739999999984,True
Cyl,PRM*,0,3,2,False,0.17408,True
Cyl,PRM*,0,4,2,False,0.16120699999999744,True
Cyl,PRM*,0,5,2,False,0.16516599999999926,True
Cyl,PRM*,0,6,2,False,0.16603500000000082,True
Cyl,PRM*,0,7,2,False,0.1811310000000006,True
Cyl,PRM*,0,8,2,False,0.16580499999999887,True
Cyl,PRM*,0,9,2,False,0.15923399999999788,True
