-1.57080,2.84489,0.00000,0.75049,-1.65806,4.48550,-1.39626
-0.82030,4.76475,-2.61799,2.00713,0.89012,4.52040,-2.80998
2.91470,2.09440,-1.37881,2.11185,0.66323,1.88496,1.37881
-1.22173,4.17134,2.23402,2.49582,-2.12930,4.29351,3.00197
-1.81514,4.27606,2.28638,5.18363,1.78024,1.15192,3.00197
-0.76794,2.35619,-0.34907,5.11381,1.36136,5.04400,0.97738
-1.01229,4.13643,1.86750,4.43314,1.85005,5.07891,-0.33161
2.26893,3.54302,0.71558,0.75049,1.44862,3.92699,0.00000
-0.48869,2.37365,-2.63545,5.34071,2.42601,5.07891,-1.95477
-2.37365,2.51327,2.93215,4.66003,-1.27409,1.32645,0.68068
